Floor,Location index,AVE (dBm),MED (dBm),Center Freq(MHz),Counts (/100),AP_name
3,ad,-75.04615385,-75,2437,65,AP-C2-5F-02
3,ad,-86.41176471,-86,2437,51,AP-C2-5F-03
3,ad,-78.9,-80,2437,30,AP-C3-3F-03
3,ad,-87.54545455,-88,5180,77,AP-C2-2F-01
3,ad,-79.5,-78,5180,86,AP-C2-2F-02
3,ad,-90.5,-90.5,5180,14,AP-C2-2F-03
3,ad,-76.65,-77,5180,20,AP-C2-3F-01
3,ae,-77.5,-77.5,2437,14,AP-C-3F-01
3,ae,-77.2173913,-77,2437,23,AP-C2-1F-01
3,ae,-69.46666667,-69,2437,30,AP-C2-1F-02
3,ae,-86,-86,2437,7,AP-C2-1F-03
3,ae,-74.66666667,-75.5,2437,42,AP-C2-2F-01
3,ae,-56.43010753,-56,2437,93,AP-C2-2F-02
3,ae,-75.2,-75,2437,35,AP-C2-2F-03
3,ae,-63.27956989,-63,2437,93,AP-C2-3F-01
3,ae,-41.67,-42,2437,100,AP-C2-3F-02
3,ae,-57.72,-58,2437,100,AP-C2-3F-03
3,ae,-60.68,-61,2437,100,AP-C2-4F-01
3,ae,-60.14,-60,2437,100,AP-C2-4F-02
3,ae,-66.66666667,-66,2437,93,AP-C2-4F-03
3,ae,-79.8,-79,2437,35,AP-C2-5F-01
3,ae,-70.5,-70,2437,56,AP-C2-5F-02
3,ae,-83.43333333,-84,2437,30,AP-C2-5F-03
3,ae,-88,-88,2437,7,AP-C2-6F-02
3,ae,-84.34782609,-84,2437,23,AP-C3-3F-03
3,ae,-72.1,-73,5180,100,AP-C2-2F-02
3,ae,-90.66666667,-91,5180,21,AP-C2-2F-03
3,ae,-77.84313725,-78,5180,51,AP-C2-3F-01
3,af,-77.59090909,-78,2437,22,AP-C-3F-01
3,af,-86,-86,2437,7,AP-C2-1F-01
3,af,-82.54385965,-84,2437,57,AP-C2-1F-02
3,af,-85.96551724,-85,2437,29,AP-C2-1F-03
3,af,-72.88888889,-73,2437,72,AP-C2-2F-01
3,af,-62.83,-62,2437,100,AP-C2-2F-02
3,af,-70.28,-71,2437,50,AP-C2-2F-03
3,af,-75.24324324,-75,2437,37,AP-C2-3F-01
3,af,-39.09,-37,2437,100,AP-C2-3F-02
3,af,-59.01010101,-59,2437,99,AP-C2-3F-03
3,af,-62.20430108,-62,2437,93,AP-C2-4F-01
3,af,-64.33,-64,2437,100,AP-C2-4F-02
3,af,-65.47311828,-65,2437,93,AP-C2-4F-03
3,af,-84.5,-85,2437,42,AP-C2-5F-01
3,af,-77.27777778,-77,2437,36,AP-C2-5F-02
3,af,-81.22222222,-81,2437,63,AP-C2-5F-03
3,af,-87.68181818,-88,2437,22,AP-C2-6F-02
3,af,-86.75,-87,2437,8,AP-C3-2F-03
3,af,-85.18,-86,2437,50,AP-C3-3F-01
3,af,-84.72,-85,2437,25,AP-C3-3F-03
3,ag,-80.13636364,-79,2437,44,AP-C2-1F-02
3,ag,-82,-82,2437,14,AP-C2-1F-03
3,ag,-80,-81,2437,28,AP-C2-2F-01
3,ag,-59.44,-60,2437,100,AP-C2-2F-02
3,ag,-69.17721519,-69,2437,79,AP-C2-2F-03
3,ag,-68.41666667,-68,2437,84,AP-C2-3F-01
3,ag,-40.14,-38,2437,100,AP-C2-3F-02
3,ag,-66.16,-65,2437,100,AP-C2-3F-03
3,ag,-73.63636364,-74,2437,77,AP-C2-4F-01
3,ag,-59.51,-59,2437,100,AP-C2-4F-02
3,ag,-62.83870968,-63,2437,93,AP-C2-4F-03
3,ag,-76.33333333,-76,2437,21,AP-C2-5F-02
3,ag,-75.22727273,-75,2437,44,AP-C2-5F-03
3,ag,-86,-86,2437,7,AP-C2-6F-03
3,ag,-86.66666667,-87,2437,21,AP-C3-3F-01
3,ag,-84.5,-84.5,2437,14,AP-C3-3F-03
3,ag,-76.29113924,-76,5180,79,AP-C2-2F-02
3,ag,-90,-90,5180,7,AP-C2-2F-03
3,ag,-76.625,-76.5,5180,56,AP-C2-3F-01
3,ag,-57.44,-57,5180,100,AP-C2-3F-02
3,ag,-67.75531915,-69,5180,94,AP-C2-3F-03
3,ah,-84,-84,2437,21,AP-C2-1F-02
3,ah,-79.28571429,-80,2437,49,AP-C2-1F-03
3,ah,-77.375,-78,2437,56,AP-C2-2F-01
3,ah,-64.03,-64,2437,100,AP-C2-2F-02
3,ah,-62.64285714,-63,2437,98,AP-C2-2F-03
3,ah,-75,-77,2437,21,AP-C2-3F-01
3,ah,-42.33,-41,2437,100,AP-C2-3F-02
3,ah,-60.47,-60,2437,100,AP-C2-3F-03
3,ah,-81,-81.5,2437,42,AP-C2-4F-01
3,ah,-63.94623656,-64,2437,93,AP-C2-4F-02
3,ah,-63.5483871,-64,2437,93,AP-C2-4F-03
3,ah,-81,-82,2437,49,AP-C2-5F-02
3,ah,-70.40909091,-71,2437,44,AP-C2-5F-03
3,ah,-87.375,-87,2437,16,AP-C3-3F-01
3,ah,-83.8,-83,2437,35,AP-C3-3F-03
3,ah,-82.22222222,-83,5180,72,AP-C2-2F-02
3,ah,-85.22222222,-85,5180,63,AP-C2-2F-03
3,ah,-82.77777778,-83,5180,63,AP-C2-3F-01
3,ah,-64.21,-65,5180,100,AP-C2-3F-02
3,ah,-63.6,-64,5180,35,AP-C2-3F-03
3,ai,-79,-79,2437,7,AP-C-3F-01
3,ai,-77.77777778,-77,2437,63,AP-C2-1F-02
3,ai,-77.75,-78,2437,28,AP-C2-1F-03
3,ai,-80,-80,2437,14,AP-C2-2F-01
3,ai,-68.30107527,-68,2437,93,AP-C2-2F-02
3,ai,-73.75,-74.5,2437,84,AP-C2-2F-03
3,ai,-77.83333333,-77.5,2437,42,AP-C2-3F-01
3,ai,-56.57,-57,2437,100,AP-C2-3F-02
3,ai,-53.1,-54,2437,100,AP-C2-3F-03
3,ai,-75.4,-76,2437,35,AP-C2-4F-01
3,ai,-61.44,-61,2437,100,AP-C2-4F-02
3,ai,-57.87,-57,2437,100,AP-C2-4F-03
3,ai,-79.51724138,-80,2437,58,AP-C2-5F-02
3,ai,-76.6,-77,2437,35,AP-C2-5F-03
3,ai,-86.25,-86.5,2437,28,AP-C2-6F-02
3,ai,-86.75,-86.5,2437,28,AP-C2-6F-03
3,ai,-86,-86,2437,7,AP-C3-2F-03
3,ai,-85.66666667,-86,2437,21,AP-C3-3F-01
3,ai,-78.18461538,-78,2437,65,AP-C3-3F-03
3,ai,-91,-91,5180,2,AP-C1-3F-03
3,ai,-82.16455696,-82,5180,79,AP-C2-2F-02
3,ai,-88.16666667,-87,5180,84,AP-C2-2F-03
3,ai,-80.38461538,-81,5180,65,AP-C2-3F-01
3,ai,-64.6,-65,5180,100,AP-C2-3F-02
3,ai,-61,-61,5180,4,AP-C2-3F-03
3,aj,-82.33333333,-83,2437,9,AP-C-3F-01
3,aj,-86.33333333,-86,2437,21,AP-C2-1F-02
