Floor,Location index,AVE (dBm),MED (dBm),Center Freq(MHz),Counts (/100),AP_name
4,a,-52.09677419,-52,2437,93,AP-C-3F-02
4,a,-79,-79,2437,7,AP-C-3F-03
4,a,-38.82795699,-39,2437,93,AP-C-4F-02
4,a,-68.22222222,-65,2437,72,AP-C-4F-03
4,a,-69.8,-72,2437,35,AP-C-4F-04
4,a,-62.56989247,-63,2437,93,AP-C-5F-02
4,a,-76.75,-76,2437,28,AP-C-5F-03
4,a,-86,-86,2437,7,AP-C-5F-04
4,a,-75.5,-75.5,2437,70,AP-C-6F-02
4,a,-83,-83,2437,7,AP-C1-4F-02
4,a,-73,-73,2437,7,AP-C2-4F-01
4,a,-72,-72,2437,7,AP-C2-4F-02
4,a,-65,-65,2437,7,AP-C-4F-01
4,a,-76.93670886,-77,5180,79,AP-C-3F-02
4,a,-62.76923077,-72,5180,13,AP-C-4F-02
4,a,-65.36,-65,5180,25,AP-C-4F-03
4,a,-75.32911392,-76,5180,79,AP-C-4F-04
4,a,-79.41666667,-79,5180,84,AP-C-5F-02
4,a,-82.79310345,-83,5180,58,AP-C-5F-03
4,a,-90,-90,5180,2,AP-C1-4F-02
4,a,-77,-77,5180,7,AP-C2-4F-03
4,a,-81,-81,5180,7,AP-C-4F-01
4,aa,-85.5,-85.5,2437,14,AP-C2-1F-01
4,aa,-70.63076923,-70,2437,65,AP-C2-2F-01
4,aa,-84,-84.5,2437,28,AP-C2-2F-02
4,aa,-64.45348837,-65,2437,86,AP-C2-3F-01
4,aa,-71.13953488,-70,2437,86,AP-C2-3F-02
4,aa,-83.66666667,-84,2437,21,AP-C2-3F-03
4,aa,-48.15,-46,2437,100,AP-C2-4F-01
4,aa,-57.28,-57,2437,100,AP-C2-4F-02
4,aa,-67.22222222,-66,2437,63,AP-C2-4F-03
4,aa,-73.73417722,-74,2437,79,AP-C2-5F-01
4,aa,-71.49019608,-72,2437,51,AP-C2-5F-02
4,aa,-82.68627451,-82,2437,51,AP-C2-5F-03
4,aa,-78.47692308,-79,2437,65,AP-C2-6F-01
4,aa,-79.9,-80,2437,30,AP-C2-6F-02
4,aa,-89.5,-89.5,5180,14,AP-C2-2F-01
4,aa,-81.51388889,-82,5180,72,AP-C2-3F-01
4,aa,-87.81818182,-87,5180,77,AP-C2-3F-02
4,aa,-61,-61,5180,100,AP-C2-4F-01
4,aa,-72.87096774,-72,5180,93,AP-C2-4F-02
4,aa,-76,-76,5180,3,AP-C2-4F-03
4,ab,-76.8,-77,2437,35,AP-C2-2F-01
4,ab,-86,-86,2437,7,AP-C2-2F-02
4,ab,-69.7,-70,2437,70,AP-C2-3F-01
4,ab,-74.89873418,-74,2437,79,AP-C2-3F-02
4,ab,-84,-84,2437,7,AP-C2-3F-03
4,ab,-41.12,-44,2437,100,AP-C2-4F-01
4,ab,-59.72,-60,2437,100,AP-C2-4F-02
4,ab,-69.35443038,-70,2437,79,AP-C2-4F-03
4,ab,-64.36363636,-64,2437,77,AP-C2-5F-01
4,ab,-61.30232558,-60,2437,86,AP-C2-5F-02
4,ab,-85,-85,2437,7,AP-C2-5F-03
4,ab,-78.22222222,-78,2437,63,AP-C2-6F-01
4,ab,-83,-83,2437,7,AP-C2-6F-02
4,ab,-88.90909091,-89,5180,77,AP-C2-3F-01
4,ab,-88,-88,5180,7,AP-C2-3F-02
4,ab,-50.88,-50,5180,100,AP-C2-4F-01
4,ab,-69.41860465,-68,5180,86,AP-C2-4F-02
4,ab,-66.95,-67,5180,100,AP-C2-4F-03
4,ab,-74.23529412,-74,5180,51,AP-C2-5F-01
4,ab,-81,-81,5180,77,AP-C2-5F-02
4,ab,-82.87096774,-83,5180,93,AP-C2-6F-01
4,ac,-78.33333333,-78,2437,21,AP-C2-2F-01
4,ac,-82,-82,2437,14,AP-C2-2F-02
4,ac,-72.16666667,-71,2437,72,AP-C2-3F-01
4,ac,-67.90909091,-68,2437,77,AP-C2-3F-02
4,ac,-79,-79,2437,7,AP-C2-3F-03
4,ac,-43.67,-44,2437,100,AP-C2-4F-01
4,ac,-52.67,-53,2437,100,AP-C2-4F-02
4,ac,-67.25581395,-66,2437,86,AP-C2-4F-03
4,ac,-62.63636364,-62,2437,77,AP-C2-5F-01
4,ac,-65.36363636,-65,2437,77,AP-C2-5F-02
4,ac,-79,-79,2437,7,AP-C2-5F-03
4,ac,-80.5,-80.5,2437,14,AP-C2-6F-01
4,ac,-81.5,-81.5,2437,14,AP-C2-6F-03
4,ac,-84,-84,2437,7,AP-C-4F-01
