Floor,Location index,AVE (dBm),MED (dBm),Center Freq(MHz),Counts (/100),AP_name
4,ac,-92.75,-92.5,5180,28,AP-C2-2F-01
4,ac,-90.5,-90.5,5180,42,AP-C2-2F-02
4,ac,-87.34722222,-87,5180,72,AP-C2-3F-01
4,ac,-80.16666667,-80.5,5180,84,AP-C2-3F-02
4,ac,-48.67,-48,5180,100,AP-C2-4F-01
4,ac,-64.91,-64,5180,100,AP-C2-4F-02
4,ac,-75.28571429,-75,5180,98,AP-C2-4F-03
4,ac,-73.95348837,-74,5180,43,AP-C2-5F-01
4,ad,-89.88888889,-91,2437,9,AP-C2-1F-01
4,ad,-77.66666667,-78,2437,21,AP-C2-2F-02
4,ad,-79.66666667,-79,2437,21,AP-C2-3F-01
4,ad,-63.84615385,-64,2437,91,AP-C2-3F-02
4,ad,-82,-82,2437,7,AP-C2-3F-03
4,ad,-58.13978495,-58,2437,93,AP-C2-4F-01
4,ad,-53.44,-54,2437,100,AP-C2-4F-02
4,ad,-62.42,-63,2437,100,AP-C2-4F-03
4,ad,-62.27906977,-61,2437,86,AP-C2-5F-01
4,ad,-63.21505376,-63,2437,93,AP-C2-5F-02
4,ad,-83,-83,2437,9,AP-C2-5F-03
4,ad,-76.08695652,-76,2437,23,AP-C2-6F-01
4,ad,-82.375,-83,2437,16,AP-C2-6F-02
4,ad,-85,-85,2437,7,AP-C2-6F-03
4,ad,-91,-91,5180,2,AP-C2-3F-01
4,ad,-83.5,-83,5180,56,AP-C2-3F-02
4,ad,-63.21,-63,5180,100,AP-C2-4F-01
4,ad,-58.82,-59,5180,100,AP-C2-4F-02
4,ad,-70.67741935,-71,5180,93,AP-C2-4F-03
4,ad,-82.56896552,-83,5180,58,AP-C2-5F-01
4,ad,-80.15384615,-80,5180,91,AP-C2-5F-02
4,ad,-91.46666667,-91,5180,30,AP-C2-6F-02
4,ae,-78.5,-78.5,2437,14,AP-C2-2F-01
4,ae,-75.29113924,-75,2437,79,AP-C2-2F-02
4,ae,-78.53846154,-78,2437,65,AP-C2-3F-01
4,ae,-60.56,-60,2437,100,AP-C2-3F-02
4,ae,-76.5,-76.5,2437,70,AP-C2-3F-03
4,ae,-60.42,-60,2437,100,AP-C2-4F-01
4,ae,-48.17,-48,2437,100,AP-C2-4F-02
4,ae,-60.77,-60,2437,100,AP-C2-4F-03
4,ae,-66.74137931,-66,2437,58,AP-C2-5F-01
4,ae,-62.53,-62,2437,100,AP-C2-5F-02
4,ae,-73.36206897,-73,2437,58,AP-C2-5F-03
4,ae,-88,-88,2437,14,AP-C2-6F-01
4,ae,-80.25,-80.5,2437,28,AP-C2-6F-02
4,ae,-85.33333333,-85,2437,21,AP-C2-6F-03
4,ae,-90.11111111,-89,5180,9,AP-C2-2F-02
4,ae,-78.16666667,-78,5180,84,AP-C2-3F-02
4,ae,-91,-91,5180,14,AP-C2-3F-03
4,ae,-69.84,-70,5180,100,AP-C2-4F-01
4,ae,-58.60215054,-58,5180,93,AP-C2-4F-02
4,ae,-73,-73,5180,1,AP-C2-4F-03
4,af,-72.28571429,-72,2437,49,AP-C2-2F-02
4,af,-86,-86,2437,14,AP-C2-3F-01
4,af,-49.55,-49,2437,100,AP-C2-3F-02
4,af,-76.20833333,-77,2437,24,AP-C2-3F-03
4,af,-65.13978495,-65,2437,93,AP-C2-4F-01
4,af,-36.85,-36,2437,100,AP-C2-4F-02
4,af,-61.19,-60,2437,100,AP-C2-4F-03
4,af,-72.53333333,-73,2437,90,AP-C2-5F-01
4,af,-63.94623656,-64,2437,93,AP-C2-5F-02
4,af,-70.9,-71,2437,70,AP-C2-5F-03
4,af,-81.55,-80,2437,20,AP-C2-6F-01
4,af,-75.75,-75,2437,48,AP-C2-6F-02
4,af,-80,-80,2437,14,AP-C2-6F-03
4,af,-78,-78,2437,6,AP-C-4F-01
4,af,-66.49,-66,5180,100,AP-C2-3F-02
4,af,-89.45,-90,5180,20,AP-C2-3F-03
4,af,-72.65,-72,5180,100,AP-C2-4F-01
4,af,-50.43,-51,5180,100,AP-C2-4F-02
4,af,-63.42,-64,5180,100,AP-C2-4F-03
4,af,-88,-88,5180,7,AP-C2-5F-01
4,af,-77.8,-78,5180,20,AP-C2-5F-02
4,ag,-88,-88,2437,7,AP-C2-1F-02
4,ag,-82,-82,2437,7,AP-C2-2F-01
4,ag,-74.79545455,-75,2437,44,AP-C2-2F-02
4,ag,-82,-82,2437,7,AP-C2-2F-03
4,ag,-79.20454545,-80,2437,44,AP-C2-3F-01
4,ag,-53.6,-53,2437,100,AP-C2-3F-02
4,ag,-73.25,-73,2437,28,AP-C2-3F-03
4,ag,-65.14,-65,2437,100,AP-C2-4F-01
4,ag,-43.65,-43,2437,100,AP-C2-4F-02
4,ag,-58.12,-58,2437,100,AP-C2-4F-03
4,ag,-81.33333333,-80.5,2437,42,AP-C2-5F-01
4,ag,-59.4,-59,2437,100,AP-C2-5F-02
4,ag,-69.72307692,-71,2437,65,AP-C2-5F-03
4,ag,-87,-86,2437,21,AP-C2-6F-01
4,ag,-75.8,-75,2437,70,AP-C2-6F-02
4,ag,-77.6,-78,2437,35,AP-C2-6F-03
4,ag,-89.37254902,-90,5180,51,AP-C2-2F-02
4,ag,-75.2,-76.5,5180,70,AP-C2-3F-02
4,ag,-85.6,-86,5180,70,AP-C2-3F-03
4,ag,-72.31914894,-73,5180,47,AP-C2-4F-01
4,ah,-71.75,-72,2437,28,AP-C2-2F-02
4,ah,-85.5,-85.5,2437,14,AP-C2-2F-03
4,ah,-79.89189189,-80,2437,37,AP-C2-3F-01
4,ah,-67.83,-68,2437,100,AP-C2-3F-02
4,ah,-79.18918919,-80,2437,37,AP-C2-3F-03
4,ah,-72.07692308,-70,2437,65,AP-C2-4F-01
4,ah,-45.21,-45,2437,100,AP-C2-4F-02
4,ah,-62.81,-62,2437,100,AP-C2-4F-03
4,ah,-64.90277778,-66,2437,72,AP-C2-5F-02
4,ah,-62.70886076,-63,2437,79,AP-C2-5F-03
4,ah,-75.5,-75.5,2437,14,AP-C2-6F-02
4,ah,-79,-79,2437,14,AP-C2-6F-03
4,ah,-79,-79,2437,7,AP-C-4F-01
4,ah,-90.66666667,-91,5180,21,AP-C2-2F-02
4,ah,-75.90909091,-76,5180,77,AP-C2-3F-02
4,ah,-83.45454545,-83,5180,77,AP-C2-3F-03
4,ah,-72.9,-73,5180,70,AP-C2-4F-01
4,ah,-65.07,-65,5180,100,AP-C2-4F-02
4,ah,-64.55,-65,5180,100,AP-C2-4F-03
4,ah,-90.83333333,-91,5180,42,AP-C2-5F-01
4,ah,-78.3255814,-78,5180,86,AP-C2-5F-02
4,ah,-82.33333333,-83,5180,21,AP-C2-5F-03
4,ah,-90.14285714,-90,5180,49,AP-C3-4F-02
4,ai,-79.66666667,-82,2437,21,AP-C2-2F-02
4,ai,-79.5,-79.5,2437,14,AP-C2-2F-03
4,ai,-82.66666667,-83,2437,21,AP-C2-3F-01
4,ai,-69.78,-70,2437,100,AP-C2-3F-02
4,ai,-71.39240506,-72,2437,79,AP-C2-3F-03
4,ai,-78.75,-78.5,2437,28,AP-C2-4F-01
4,ai,-58.95,-60,2437,100,AP-C2-4F-02
4,ai,-49.1,-48,2437,100,AP-C2-4F-03
4,ai,-78,-78,2437,7,AP-C2-5F-01
4,ai,-67.20253165,-67,2437,79,AP-C2-5F-02
4,ai,-66.88172043,-67,2437,93,AP-C2-5F-03
4,ai,-77.2,-77,2437,35,AP-C2-6F-03
4,ai,-81.41772152,-81,5180,79,AP-C2-3F-02
4,ai,-84.59302326,-85,5180,86,AP-C2-3F-03
4,ai,-80.93846154,-81,5180,65,AP-C2-4F-01
4,ai,-67.75268817,-66,5180,93,AP-C2-4F-02
4,ai,-65.6,-65,5180,100,AP-C2-4F-03
4,ai,-84.10126582,-83,5180,79,AP-C2-5F-02
4,ai,-79.52272727,-80,5180,44,AP-C2-5F-03
4,ai,-92.5,-92.5,5180,14,AP-C3-4F-02
4,aj,-81.66666667,-81,2437,9,AP-C2-2F-02
4,aj,-71.04545455,-72,2437,44,AP-C2-2F-03
4,aj,-84.33333333,-85,2437,21,AP-C2-3F-01
4,aj,-75,-76,2437,58,AP-C2-3F-02
4,aj,-65.29113924,-65,2437,79,AP-C2-3F-03
4,aj,-77.3,-76,2437,70,AP-C2-4F-01
4,aj,-59.47,-59,2437,100,AP-C2-4F-02
4,aj,-42.25,-43,2437,100,AP-C2-4F-03
4,aj,-84,-85,2437,21,AP-C2-5F-01
4,aj,-79.875,-78.5,2437,56,AP-C2-5F-02
4,aj,-60.51,-61,2437,100,AP-C2-5F-03
4,aj,-81.33333333,-80,2437,21,AP-C2-6F-02
4,aj,-83.5,-83.5,2437,14,AP-C2-6F-03
4,aj,-82.5625,-82,2437,16,AP-C-4F-01
4,aj,-87.36923077,-88,5180,65,AP-C2-3F-02
4,aj,-76.27848101,-76,5180,79,AP-C2-3F-03
4,aj,-81.23076923,-82,5180,91,AP-C2-4F-01
4,aj,-74.75581395,-75,5180,86,AP-C2-4F-02
4,aj,-57.87,-58,5180,100,AP-C2-4F-03
4,aj,-89.76666667,-90,5180,30,AP-C2-5F-02
4,aj,-75.12790698,-76,5180,86,AP-C2-5F-03
4,aj,-89.11363636,-89,5180,44,AP-C3-4F-01
4,aj,-91,-91,5180,9,AP-C3-4F-02
4,ak,-85,-85,2437,7,AP-C2-1F-03
4,ak,-86.5,-86.5,2437,14,AP-C2-2F-02
4,ak,-75.95652174,-75,2437,23,AP-C2-2F-03
4,ak,-83,-83,2437,7,AP-C2-3F-01
4,ak,-77.36363636,-78,2437,44,AP-C2-3F-02
4,ak,-56.51,-56,2437,100,AP-C2-3F-03
4,ak,-70.52941176,-70,2437,51,AP-C2-4F-01
4,ak,-54.31,-54,2437,100,AP-C2-4F-02
4,ak,-43.91,-44,2437,100,AP-C2-4F-03
4,ak,-86,-86,2437,14,AP-C2-5F-01
4,ak,-77.69565217,-78,2437,23,AP-C2-5F-02
4,ak,-59.84,-61,2437,100,AP-C2-5F-03
4,ak,-81.91304348,-81,2437,23,AP-C2-6F-02
4,ak,-81.5,-81,2437,28,AP-C2-6F-03
4,ak,-81.5,-81.5,2437,28,AP-C-4F-01
4,ak,-90.5,-90.5,5180,14,AP-C2-3F-02
4,ak,-77.61111111,-78,5180,72,AP-C2-3F-03
4,ak,-83.41666667,-84,5180,72,AP-C2-4F-01
4,ak,-73.2,-73,5180,70,AP-C2-4F-02
4,ak,-49.49,-50,5180,100,AP-C2-4F-03
4,ak,-73.23655914,-73,5180,93,AP-C2-5F-03
4,ak,-90.93846154,-91,5180,65,AP-C3-4F-01
4,ak,-89,-89,5180,49,AP-C3-4F-02
4,al,-86,-86,2437,14,AP-C2-2F-02
4,al,-74.3,-75,2437,30,AP-C2-2F-03
4,al,-82.25,-82.5,2437,28,AP-C2-3F-01
4,al,-73.4,-73,2437,35,AP-C2-3F-02
4,al,-60.46,-60,2437,100,AP-C2-3F-03
4,al,-70.0862069,-70,2437,58,AP-C2-4F-01
4,al,-64.80645161,-65,2437,93,AP-C2-4F-02
4,al,-42.41,-40,2437,100,AP-C2-4F-03
4,al,-75.25862069,-74,2437,58,AP-C2-5F-02
4,al,-62.9,-62,2437,100,AP-C2-5F-03
4,al,-86.5,-86.5,2437,14,AP-C2-6F-02
4,al,-72.01538462,-71,2437,65,AP-C2-6F-03
4,al,-78,-78,2437,7,AP-C-4F-01
4,al,-91,-91,5180,7,AP-C2-3F-02
4,al,-72.85714286,-73,5180,98,AP-C2-3F-03
4,al,-82.40277778,-83,5180,72,AP-C2-4F-01
4,al,-72.63076923,-73,5180,65,AP-C2-4F-02
4,al,-53.47,-54,5180,100,AP-C2-4F-03
4,al,-88,-88,5180,14,AP-C2-5F-02
4,al,-74.56976744,-74,5180,86,AP-C2-5F-03
4,al,-90.75,-90.5,5180,28,AP-C2-6F-03
4,al,-90.2,-90,5180,35,AP-C3-4F-01
4,al,-87.04651163,-87,5180,86,AP-C3-4F-02
4,am,-87,-87,2437,7,AP-C2-1F-03
4,am,-84.8627451,-85,2437,51,AP-C2-2F-02
4,am,-78.5,-78.5,2437,56,AP-C2-2F-03
4,am,-81,-81,2437,7,AP-C2-3F-01
4,am,-80,-81,2437,21,AP-C2-3F-02
4,am,-62.07,-62,2437,100,AP-C2-3F-03
4,am,-76,-75.5,2437,42,AP-C2-4F-01
4,am,-71.17204301,-72,2437,93,AP-C2-4F-02
4,am,-42.7,-43,2437,100,AP-C2-4F-03
4,am,-81.5,-81,2437,28,AP-C2-5F-02
4,am,-60.12,-60,2437,100,AP-C2-5F-03
4,am,-73.09090909,-73,2437,77,AP-C2-6F-03
4,am,-85,-85,2437,7,AP-C-4F-01
4,am,-76.89534884,-78,5180,86,AP-C2-3F-03
4,am,-83.03076923,-83,5180,65,AP-C2-4F-01
4,am,-76.39534884,-77,5180,86,AP-C2-4F-02
4,am,-49.32,-49,5180,100,AP-C2-4F-03
4,am,-82.1827957,-83,5180,93,AP-C2-5F-03
4,am,-92.5,-92.5,5180,14,AP-C2-6F-03
4,am,-85.83333333,-86,5180,42,AP-C3-4F-01
4,am,-86.93670886,-87,5180,79,AP-C3-4F-02
4,an,-80.6,-81,2437,35,AP-C2-2F-03
4,an,-84.5,-84.5,2437,14,AP-C2-3F-01
4,an,-80.28571429,-80,2437,49,AP-C2-3F-02
4,an,-56.52,-57,2437,100,AP-C2-3F-03
4,an,-78.57142857,-79,2437,49,AP-C2-4F-01
4,an,-69.3372093,-69,2437,86,AP-C2-4F-02
4,an,-53.82,-54,2437,100,AP-C2-4F-03
4,an,-83.6,-85,2437,35,AP-C2-5F-02
4,an,-63.08,-62,2437,100,AP-C2-5F-03
4,an,-79.5,-79.5,2437,14,AP-C2-6F-03
4,an,-77.05063291,-77,5180,79,AP-C2-3F-03
4,an,-80,-80,5180,79,AP-C2-4F-01
4,an,-73.23655914,-74,5180,93,AP-C2-4F-02
4,an,-58.93,-59,5180,100,AP-C2-4F-03
4,an,-78.7311828,-79,5180,93,AP-C2-5F-03
4,an,-84.65517241,-84,5180,58,AP-C3-4F-01
4,an,-83.33333333,-83,5180,72,AP-C3-4F-02
4,ao,-84,-84,2437,14,AP-C2-2F-03
4,ao,-80.5,-80.5,2437,14,AP-C2-3F-02
4,ao,-71.07692308,-71,2437,65,AP-C2-3F-03
4,ao,-76,-76,2437,14,AP-C2-4F-01
4,ao,-71.27777778,-71,2437,72,AP-C2-4F-02
4,ao,-58.11,-58,2437,100,AP-C2-4F-03
4,ao,-84,-84,2437,7,AP-C2-5F-01
4,ao,-72.92405063,-74,2437,79,AP-C2-5F-03
4,ao,-88,-88,2437,7,AP-C2-6F-03
4,ao,-81.66666667,-81,2437,21,AP-C3-3F-03
4,ao,-83,-83,2437,7,AP-C3-4F-01
4,ao,-78.4,-77,2437,35,AP-C3-4F-02
4,ao,-86,-86,2437,35,AP-C3-5F-02
4,ao,-83.90322581,-83,5180,93,AP-C2-3F-03
4,ao,-84.69444444,-85,5180,72,AP-C2-4F-01
4,ao,-74.8255814,-75,5180,86,AP-C2-4F-02
4,ao,-69.12,-69,5180,100,AP-C2-4F-03
4,ao,-87.33333333,-87,5180,42,AP-C2-5F-03
4,ao,-84.61111111,-84,5180,72,AP-C3-4F-01
4,ao,-84,-84,5180,93,AP-C3-4F-02
4,ap,-84.2,-85,2437,35,AP-C2-2F-03
4,ap,-73.78,-74,2437,100,AP-C2-3F-03
4,ap,-75.49230769,-76,2437,65,AP-C2-4F-01
4,ap,-76.46236559,-75,2437,93,AP-C2-4F-02
4,ap,-70.3655914,-71,2437,93,AP-C2-4F-03
4,ap,-87,-87,2437,7,AP-C2-5F-02
4,ap,-76.28846154,-75,2437,52,AP-C2-5F-03
4,ap,-86,-86,2437,7,AP-C2-6F-03
4,ap,-85.5,-85.5,2437,28,AP-C3-2F-03
4,ap,-83,-83,2437,7,AP-C3-3F-03
4,ap,-84.5,-84.5,2437,14,AP-C3-4F-01
4,ap,-78.51923077,-78,2437,52,AP-C3-4F-02
4,ap,-86.4,-85,2437,35,AP-C-4F-01
4,ap,-89.01265823,-89,5180,79,AP-C2-3F-03
4,ap,-87.5,-87,5180,42,AP-C2-4F-01
4,ap,-80.8172043,-81,5180,93,AP-C2-4F-02
4,ap,-73.48387097,-73,5180,93,AP-C2-4F-03
4,ap,-90.66666667,-90,5180,21,AP-C2-5F-03
4,ap,-87.63414634,-89,5180,41,AP-C3-4F-01
4,ap,-78.33333333,-78,5180,93,AP-C3-4F-02
4,aq,-83.5,-84.5,2437,28,AP-C2-2F-03
4,aq,-89,-89,2437,7,AP-C2-3F-02
4,aq,-74.30379747,-74,2437,79,AP-C2-3F-03
4,aq,-77.04615385,-77,2437,65,AP-C2-4F-01
4,aq,-81.77777778,-83,2437,63,AP-C2-4F-02
4,aq,-70.7311828,-70,2437,93,AP-C2-4F-03
4,aq,-85,-85,2437,7,AP-C2-5F-01
4,aq,-83,-83.5,2437,28,AP-C2-5F-03
4,aq,-80.25,-80,2437,28,AP-C3-2F-03
4,aq,-82.28571429,-82,2437,49,AP-C3-3F-03
4,aq,-81.34482759,-81,2437,58,AP-C3-4F-01
4,aq,-74.47311828,-75,2437,93,AP-C3-4F-02
4,aq,-85.83783784,-86,2437,37,AP-C3-5F-02
4,aq,-86,-86,2437,7,AP-C-4F-01
4,aq,-92,-92,5180,14,AP-C2-3F-03
4,aq,-83.48387097,-84,5180,93,AP-C2-4F-01
4,aq,-82.34722222,-83,5180,72,AP-C2-4F-02
4,aq,-75.56976744,-75,5180,86,AP-C2-4F-03
4,aq,-91.5,-91.5,5180,28,AP-C3-3F-03
4,aq,-88.5,-89,5180,72,AP-C3-4F-01
4,aq,-73.91397849,-74,5180,93,AP-C3-4F-02
4,ar,-72.25316456,-73,2437,79,AP-C2-3F-03
4,ar,-81.33333333,-82,2437,21,AP-C2-4F-01
4,ar,-81,-82,2437,21,AP-C2-4F-02
4,ar,-66.64516129,-66,2437,93,AP-C2-4F-03
4,ar,-84.33333333,-82,2437,21,AP-C2-5F-03
4,ar,-76,-76,2437,35,AP-C3-2F-03
4,ar,-77.8,-77,2437,35,AP-C3-3F-02
4,ar,-63.09,-63,2437,100,AP-C3-3F-03
4,ar,-71.4137931,-71,2437,58,AP-C3-4F-01
4,ar,-63.17204301,-63,2437,93,AP-C3-4F-02
4,ar,-82.25,-82,2437,28,AP-C3-5F-02
4,ar,-87,-87,2437,7,AP-C-4F-01
4,ar,-87.87341772,-88,5180,79,AP-C2-4F-01
4,ar,-81.5,-81,5180,70,AP-C2-4F-02
4,ar,-77.44303797,-79,5180,79,AP-C2-4F-03
4,ar,-91.25,-91.5,5180,28,AP-C3-3F-03
4,ar,-81.26744186,-82,5180,86,AP-C3-4F-01
4,ar,-74.53164557,-74,5180,79,AP-C3-4F-02
4,ar,-91.5,-91.5,5180,28,AP-C3-5F-02
4,as,-86,-87,2437,21,AP-C2-3F-01
4,as,-74.55172414,-74,2437,58,AP-C2-3F-03
4,as,-76.13513514,-76,2437,37,AP-C2-4F-01
4,as,-65.05813953,-65,2437,86,AP-C2-4F-02
4,as,-61.77906977,-62,2437,86,AP-C2-4F-03
4,as,-87.5,-87.5,2437,14,AP-C2-5F-01
4,as,-80.4,-82,2437,70,AP-C2-5F-03
4,as,-89,-89,2437,7,AP-C2-6F-03
4,as,-84.9,-86,2437,30,AP-C3-3F-01
4,as,-83.05405405,-84,2437,37,AP-C3-3F-02
4,as,-69.69444444,-68,2437,72,AP-C3-3F-03
4,as,-66.51,-66,2437,100,AP-C3-4F-01
4,as,-63.78,-63,2437,100,AP-C3-4F-02
4,as,-79.02325581,-80,2437,86,AP-C3-5F-02
4,as,-79.66666667,-79,2437,42,AP-C-4F-01
4,as,-87.63333333,-87,5180,30,AP-C2-3F-03
4,as,-80.53846154,-81,5180,65,AP-C2-4F-01
4,as,-66.01,-66,5180,100,AP-C2-4F-02
4,as,-72,-72,5180,86,AP-C2-4F-03
4,as,-92.33333333,-92,5180,21,AP-C2-5F-02
4,as,-87.05405405,-87,5180,37,AP-C2-5F-03
4,as,-84.15909091,-84,5180,44,AP-C3-3F-03
4,as,-69.61445783,-70,5180,83,AP-C3-4F-01
4,at,-82.5,-82.5,2437,14,AP-C2-3F-03
4,at,-76.56862745,-76,2437,51,AP-C2-4F-02
4,at,-78.2745098,-78,2437,51,AP-C2-4F-03
4,at,-84.25,-84.5,2437,28,AP-C2-5F-03
4,at,-69.88888889,-69,2437,63,AP-C3-2F-03
4,at,-77.18918919,-78,2437,37,AP-C3-3F-01
4,at,-78.87692308,-79,2437,65,AP-C3-3F-02
4,at,-59.45,-59,2437,100,AP-C3-3F-03
4,at,-60.27,-60,2437,100,AP-C3-4F-01
4,at,-59.07,-59,2437,100,AP-C3-4F-02
4,at,-80.5,-79.5,2437,42,AP-C3-5F-01
4,at,-68.09090909,-68,2437,77,AP-C3-5F-02
4,at,-90,-90,5180,21,AP-C2-4F-01
4,at,-83.19444444,-83,5180,72,AP-C2-4F-02
4,at,-80.08333333,-80,5180,72,AP-C2-4F-03
4,at,-92,-92,5180,14,AP-C3-3F-02
4,at,-75.19354839,-75,5180,93,AP-C3-3F-03
4,at,-77.44086022,-77,5180,93,AP-C3-4F-01
4,at,-67.49,-67,5180,100,AP-C3-4F-02
4,at,-87.5,-87.5,5180,28,AP-C3-5F-02
4,au,-88,-88,2437,14,AP-C2-3F-03
4,au,-82.75,-82,2437,28,AP-C2-4F-03
4,au,-83.16666667,-82.5,2437,42,AP-C3-2F-02
4,au,-78.44444444,-78,2437,63,AP-C3-2F-03
4,au,-85.83333333,-86,2437,42,AP-C3-3F-01
4,au,-65.59302326,-65,2437,86,AP-C3-3F-02
4,au,-56.91,-56,2437,100,AP-C3-3F-03
4,au,-71.07692308,-72,2437,91,AP-C3-4F-01
4,au,-52.39,-52,2437,100,AP-C3-4F-02
4,au,-80.63888889,-81,2437,72,AP-C3-5F-01
4,au,-69.79746835,-69,2437,79,AP-C3-5F-02
4,au,-93,-93,5180,7,AP-C2-4F-01
4,au,-89.61111111,-90,5180,72,AP-C2-4F-03
4,au,-93,-93,5180,7,AP-C3-2F-03
4,au,-88.45098039,-88,5180,51,AP-C3-3F-02
4,au,-70.69,-71,5180,100,AP-C3-3F-03
4,au,-67.6,-68,5180,100,AP-C3-4F-01
4,au,-68.82,-69,5180,100,AP-C3-4F-02
4,au,-78.875,-79,5180,72,AP-C3-5F-02
4,av,-82.2,-83,2437,35,AP-C2-4F-03
4,av,-86,-86,2437,42,AP-C3-1F-02
4,av,-83.15384615,-83,2437,65,AP-C3-2F-02
4,av,-81.04545455,-82,2437,44,AP-C3-2F-03
4,av,-78.66666667,-79,2437,30,AP-C3-3F-01
4,av,-64.17204301,-64,2437,93,AP-C3-3F-02
4,av,-60.23,-60,2437,100,AP-C3-3F-03
4,av,-72.55,-74,2437,100,AP-C3-4F-01
4,av,-44.57,-45,2437,100,AP-C3-4F-02
4,av,-82.63793103,-83,2437,58,AP-C3-5F-01
4,av,-61.73611111,-62,2437,72,AP-C3-5F-02
4,av,-90.25,-90.5,5180,28,AP-C3-3F-01
4,av,-87,-86.5,5180,56,AP-C3-3F-02
4,av,-73.81,-74,5180,100,AP-C3-3F-03
